baseline_kind,comparison,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,sample_seed,scope,task_label,test_per_task,valid_records,validation_per_task
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.004489795918367345,recall@10,101,test_by_task,7,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,top1_accuracy,101,test_by_task,8,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0,mrr,101,test_by_task,8,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0268272243989367,map,101,test_by_task,8,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.0032653061224489632,recall@10,101,test_by_task,8,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.020000000000000018,top1_accuracy,101,test_by_task,9,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,-0.010000000000000009,mrr,101,test_by_task,9,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.02231171935092391,map,101,test_by_task,9,50,550,20
transition_count,candidate_size_depth_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,size_depth,,,,0.004081632653061218,recall@10,101,test_by_task,9,50,550,20
transition_count,candidate_branching_minus_baseline,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,branching,,,,0.0,top1_accuracy,101,test_by_task,0,50,550,20
