feature_set,mean_delta_max,mean_delta_mean,mean_delta_min,mean_delta_std,metric,n_splits,split_seeds,task_label
size_depth,0.005714285714285727,0.003809523809523809,0.0024489795918367363,0.0016993191832376687,recall@10,3,"101,202,303",10
size_depth,-0.007186313390619148,-0.016967634809800236,-0.02407418671183703,0.008755904311135368,map,3,"101,202,303",2
size_depth,0.0036734693877550906,0.0006802721088435363,-0.0016326530612244816,0.00271768494631811,recall@10,3,"101,202,303",2
size_depth,0.03352053470247107,0.03063568666546342,0.02555624465644435,0.004412443881886967,map,3,"101,202,303",3
size_depth,0.0036734693877551183,0.0031292517006802725,0.002857142857142836,0.00047130634219562655,recall@10,3,"101,202,303",3
size_depth,-0.0012572107610444583,-0.008405953112313106,-0.016398641338371434,0.007605913059040575,map,3,"101,202,303",4
size_depth,0.002040816326530609,-0.0001360544217687091,-0.0024489795918367363,0.0022479879784841226,recall@10,3,"101,202,303",4
size_depth,0.035334878593330066,0.02915802939965804,0.02065616545924992,0.007610546957844717,map,3,"101,202,303",5
size_depth,0.0032653061224489632,0.002312925170068018,0.0008163265306122547,0.0013120613280262364,recall@10,3,"101,202,303",5
size_depth,0.0016583068214742758,-0.0016401827815616388,-0.005088508140042913,0.0033759022640540795,map,3,"101,202,303",6
size_depth,0.003265306122448991,0.0017687074829931815,-0.0004081632653061551,0.0019289043372459809,recall@10,3,"101,202,303",6
size_depth,0.03893059806606225,0.017441808859386437,-0.0006672469287045679,0.020014102041883346,map,3,"101,202,303",7
size_depth,0.011836734693877582,0.006666666666666672,0.0036734693877550906,0.004495975956968269,recall@10,3,"101,202,303",7
size_depth,0.02866867006327678,0.025831283518725285,0.02199795609396238,0.0034450732782857884,map,3,"101,202,303",8
size_depth,0.0032653061224489632,0.0012244897959183727,0.0,0.0017791424259349519,recall@10,3,"101,202,303",8
size_depth,0.02231171935092391,0.01858663340888504,0.014255189932049772,0.004062347678904328,map,3,"101,202,303",9
size_depth,0.004081632653061218,0.002585034013605436,0.0016326530612244816,0.0013120613280262522,recall@10,3,"101,202,303",9
