baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,markov_weight,method,mrr,recall@10,sample_seed,scope,task_label,test_per_task,top1_accuracy,valid_records,validation_per_task
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.5742754701438354,0.9,candidate_all,1.0,0.18775510204081633,101,test_by_task,10,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.9032827823549373,0.9,candidate_all,1.0,0.20163265306122452,101,test_by_task,2,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.933657619816668,0.9,candidate_all,1.0,0.19877551020408163,101,test_by_task,3,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.8107703079876584,0.9,candidate_all,1.0,0.1995918367346939,101,test_by_task,4,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.6009413854947045,0.9,candidate_all,0.9602660185594344,0.18081632653061225,101,test_by_task,5,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.6001142033613883,0.9,candidate_all,1.0,0.17959183673469387,101,test_by_task,6,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.6881303184828738,0.9,candidate_all,0.99,0.18326530612244898,101,test_by_task,7,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.7021316239806998,0.9,candidate_all,0.99,0.17836734693877554,101,test_by_task,8,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed101.json,confirmatory_feature_sweep,all,0.09999999999999998,,0.8269464174497654,0.9,candidate_all,1.0,0.19224489795918365,101,test_by_task,9,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.7908302757225633,,baseline,1.0,0.19346938775510203,202,test_by_task,0,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.7259813033904584,,baseline,1.0,0.1889795918367347,202,test_by_task,1,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.5482055116090617,,baseline,0.9828571428571429,0.18653061224489798,202,test_by_task,10,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.8988052987811314,,baseline,0.9833333333333333,0.19714285714285715,202,test_by_task,2,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.7682637189773813,,baseline,0.9368356374807988,0.17877551020408164,202,test_by_task,3,50,0.92,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.7960527208688724,,baseline,0.9653333333333333,0.1906122448979592,202,test_by_task,4,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.48718804987096836,,baseline,0.9053578176209756,0.17673469387755103,202,test_by_task,5,50,0.88,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.5988028151953745,,baseline,0.9808695652173912,0.16612244897959183,202,test_by_task,6,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.6561080997787725,,baseline,0.97125,0.1746938775510204,202,test_by_task,7,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.7134498011553561,,baseline,0.9547692307692307,0.1820408163265306,202,test_by_task,8,50,0.94,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,,,,0.8732246272514509,,baseline,1.0,0.19836734693877553,202,test_by_task,9,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.7754321389289833,0.9,candidate_length_only,1.0,0.19224489795918365,202,test_by_task,0,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.7672630795475738,0.9,candidate_length_only,1.0,0.19551020408163264,202,test_by_task,1,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.6797054564235764,0.9,candidate_length_only,0.9828571428571429,0.19346938775510203,202,test_by_task,10,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.8938021529433371,0.9,candidate_length_only,0.9840000000000001,0.19755102040816325,202,test_by_task,2,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.8135318958722284,0.9,candidate_length_only,0.9316872710622711,0.18326530612244898,202,test_by_task,3,50,0.92,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.7830051203023841,0.9,candidate_length_only,0.96,0.19224489795918365,202,test_by_task,4,50,0.94,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.5058455971658696,0.9,candidate_length_only,0.9094871794871794,0.17836734693877554,202,test_by_task,5,50,0.88,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.5868766640084074,0.9,candidate_length_only,0.9818181818181819,0.16693877551020406,202,test_by_task,6,50,0.98,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.7079688022710949,0.9,candidate_length_only,0.9711111111111111,0.18775510204081633,202,test_by_task,7,50,0.96,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.7673795028028407,0.9,candidate_length_only,0.9538888888888889,0.18612244897959182,202,test_by_task,8,50,0.94,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,length_only,0.09999999999999998,,0.8852286534992246,0.9,candidate_length_only,1.0,0.19836734693877553,202,test_by_task,9,50,1.0,550,20
transition_count,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed202.json,confirmatory_feature_sweep,size_depth,0.09999999999999998,,0.7973098660068925,0.9,candidate_size_depth,1.0,0.19306122448979593,202,test_by_task,0,50,1.0,550,20
