baseline_kind,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,map,map_std,markov_weight,method,mrr,mrr_std,recall@10,recall@10_std,sample_seed,scope,test_per_task,top1_accuracy,top1_accuracy_std,valid_records,validation_per_task
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7565606679388235,,0.9,weight_0.95,0.9594419075061709,,0.44832535885167457,,101,validation,50,0.95,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7602746099048128,,0.9,weight_0.9,0.9550528773762469,,0.4473684210526316,,101,validation,50,0.9409090909090909,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7490877595182143,,0.9,weight_0.85,0.9566081225172135,,0.4392344497607655,,101,validation,50,0.9454545454545454,,550,20
transition_count,dta_confirmatory_split_transition_count_length_only_v20_t50_seed101.json,confirmatory_split,length_only,0.09999999999999998,,0.7280393335656349,,0.9,weight_0.8,0.9529012527876165,,0.43014354066985644,,101,validation,50,0.9409090909090909,,550,20
flat_markov_jsd,dta_feature_ablation_limit20_seed13_w085.json,method_comparison,,0.15000000000000002,20,0.6903437730830707,,0.85,M2_markov_jsd,0.9562051058296117,,0.4145933014354067,,13,overall,,0.9363636363636364,,220,
flat_markov_jsd,dta_feature_ablation_limit20_seed13_w085.json,method_comparison,,0.15000000000000002,20,0.7210709884752718,,0.85,M4_markov_size_depth,0.9656818181818181,,0.42775119617224877,,13,overall,,0.95,,220,
flat_markov_jsd,dta_feature_ablation_limit20_seed13_w085.json,method_comparison,,0.15000000000000002,20,0.7031495075683312,,0.85,M4_markov_branching,0.9599053030303031,,0.42392344497607654,,13,overall,,0.9363636363636364,,220,
flat_markov_jsd,dta_feature_ablation_limit20_seed13_w085.json,method_comparison,,0.15000000000000002,20,0.6902396583896254,,0.85,M4_markov_metric_distortion,0.9606439393939394,,0.4138755980861244,,13,overall,,0.95,,220,
flat_markov_jsd,dta_feature_ablation_limit20_seed13_w085.json,method_comparison,,0.15000000000000002,20,0.7198574650213204,,0.85,M4_markov_shape,0.9783008658008658,,0.4308612440191387,,13,overall,,0.9681818181818181,,220,
flat_markov_jsd,dta_feature_ablation_limit20_seed13_w085.json,method_comparison,,0.15000000000000002,20,0.7195982113642858,,0.85,M4_markov_all,0.9739102564102564,,0.4303827751196172,,13,overall,,0.9636363636363636,,220,
