baseline_kind,ci95_high,ci95_low,comparison,delta_max,delta_min,delta_std,experiment_file,experiment_type,feature_set,geometry_weight,limit_per_task,markov_weight,mean_delta,metric,p_one_sided,sample_seed,scope,test_per_task,valid_records,validation_per_task
transition_count,0.0,-2.943152999736818e-08,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,branching,,,,-9.810509999122727e-09,map,1.0,303,test,50,550,20
transition_count,0.0,0.0,candidate_branching_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,branching,,,,0.0,recall@10,1.0,303,test,50,550,20
transition_count,0.007272727272727273,-0.007272727272727273,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,metric_distortion,,,,0.0,top1_accuracy,1.0,303,test,50,550,20
transition_count,0.00355106201371511,-0.0041513215523479455,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,metric_distortion,,,,-0.00032151084018429193,mrr,1.0,303,test,50,550,20
transition_count,0.008055953391066831,0.0025192544135125977,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,metric_distortion,,,,0.005264805476261264,map,0.0001999600079984003,303,test,50,550,20
transition_count,0.0011131725417439704,-0.00033395176252319175,candidate_metric_distortion_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,metric_distortion,,,,0.0004081632653061222,recall@10,0.16096780643871225,303,test,50,550,20
transition_count,0.0,0.0,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,shape,,,,0.0,top1_accuracy,1.0,303,test,50,550,20
transition_count,0.0003053302394510936,-0.0008903862052430885,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,shape,,,,-0.00016904124196264137,mrr,1.0,303,test,50,550,20
transition_count,0.004223971996213104,0.002211457084454789,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,shape,,,,0.003219558140649466,map,0.0001999600079984003,303,test,50,550,20
transition_count,0.000890538033395176,3.710575139146562e-05,candidate_shape_minus_baseline,,,,dta_confirmatory_feature_sweep_transition_count_v20_t50_seed303.json,confirmatory_feature_sweep,shape,,,,0.00044526901669758796,recall@10,0.02579484103179364,303,test,50,550,20
