ball_size_mean_r1,ball_size_mean_r2,ball_size_mean_r3,ball_size_std_r1,ball_size_std_r2,ball_size_std_r3,edge_count,forman_count,forman_mean,forman_near_zero_mass,forman_negative_mass,forman_positive_mass,forman_q05,forman_q50,forman_q95,forman_std,node_count,record_id,row_index,source_file,task_id,view
2.980392156862745,6.568627450980392,12.686274509803921,1.2832280997612686,3.642100783354188,7.1207793032384235,101,101,-1.6237623762376239,0.039603960396039604,0.7722772277227723,0.18811881188118812,-5.0,-1.0,1.0,1.8871713084654884,102,task-02:13,13,task-02.csv,2,ast
2.980392156862745,6.568627450980392,12.686274509803921,1.2832280997612686,3.642100783354188,7.1207793032384235,101,101,-1.6237623762376239,0.039603960396039604,0.7722772277227723,0.18811881188118812,-5.0,-1.0,1.0,1.8871713084654884,102,task-02:14,14,task-02.csv,2,ast
2.984126984126984,6.666666666666667,13.587301587301587,1.3152592054518475,4.2144874850810465,9.271281688479773,125,125,-1.712,0.048,0.744,0.208,-6.0,-1.0,1.0,2.1865625991496334,126,task-02:15,15,task-02.csv,2,ast
2.9782608695652173,6.521739130434782,12.26086956521739,1.2681573492204556,3.3862839093253485,6.262152646302664,91,91,-1.5824175824175823,0.02197802197802198,0.7912087912087912,0.18681318681318682,-4.0,-1.0,1.0,1.7545290471443544,92,task-02:16,16,task-02.csv,2,ast
2.9759036144578315,6.542168674698795,12.27710843373494,1.279833419266458,3.4125961033090233,6.3555558713636735,82,82,-1.6097560975609757,0.024390243902439025,0.7804878048780488,0.1951219512195122,-4.0,-1.0,1.0,1.7858256105351686,83,task-02:17,17,task-02.csv,2,ast
2.984126984126984,6.476190476190476,12.396825396825397,1.2407379203722415,3.7431721665561586,7.9092866504331525,125,125,-1.52,0.016,0.728,0.256,-5.0,-1.0,1.0,2.0262280227062304,126,task-02:18,18,task-02.csv,2,ast
2.987012987012987,6.675324675324675,12.805194805194805,1.3141933133167292,3.664294402202763,7.42239321687736,153,153,-1.7124183006535947,0.0,0.8104575163398693,0.1895424836601307,-5.0,-1.0,1.0,1.9256548079558933,154,task-02:19,19,task-02.csv,2,ast
2.9696969696969697,6.212121212121212,10.909090909090908,1.1543028457418734,2.9311035852954537,5.180754808488328,65,65,-1.2923076923076924,0.07692307692307693,0.7538461538461538,0.16923076923076924,-4.0,-1.0,1.0,1.5163019480410675,66,task-03:0,0,task-03.csv,3,ast
2.966666666666667,6.333333333333333,11.2,1.210601319822325,2.919284539441509,4.975942121849892,59,59,-1.423728813559322,0.05084745762711865,0.7796610169491526,0.1694915254237288,-4.0,-1.0,1.0,1.5966425560787372,60,task-03:1,1,task-03.csv,3,ast
2.9615384615384617,6.3076923076923075,10.884615384615385,1.2083290824926929,2.7071022084258116,4.200063397661838,51,51,-1.411764705882353,0.0,0.8431372549019608,0.1568627450980392,-4.0,-1.0,1.0,1.4440747168252526,52,task-03:2,2,task-03.csv,3,ast
2.9565217391304346,6.260869565217392,11.434782608695652,1.197034773733583,3.1926190870757947,5.351359737459027,45,45,-1.3777777777777778,0.06666666666666667,0.7111111111111111,0.2222222222222222,-4.0,-1.0,1.0,1.7674701177909489,46,task-03:3,3,task-03.csv,3,ast
2.953488372093023,6.162790697674419,10.44186046511628,1.160462786034851,2.605274011907916,4.07089685325388,42,42,-1.2857142857142858,0.0,0.8095238095238095,0.19047619047619047,-3.0,-1.0,1.0,1.4190156595953658,43,task-03:4,4,task-03.csv,3,ast
2.96875,6.15625,10.8125,1.1314916868894795,2.932675559536036,5.376090005756972,63,63,-1.2380952380952381,0.07936507936507936,0.7301587301587301,0.19047619047619047,-4.0,-1.0,1.0,1.529750324210382,64,task-03:5,5,task-03.csv,3,ast
2.9615384615384617,6.153846153846154,10.73076923076923,1.1428967660079712,2.8848717834767963,5.144509338251894,51,51,-1.2549019607843137,0.058823529411764705,0.7450980392156863,0.19607843137254902,-4.0,-1.0,1.0,1.5061070093860016,52,task-03:6,6,task-03.csv,3,ast
2.9726027397260273,6.068493150684931,10.506849315068493,1.0850491149760466,2.8154600934171166,5.444925468806318,72,72,-1.1388888888888888,0.125,0.6944444444444444,0.18055555555555555,-4.0,-1.0,1.0,1.4558841868198509,73,task-03:7,7,task-03.csv,3,ast
2.9661016949152543,6.084745762711864,10.491525423728813,1.1041693203323615,2.8181502263142866,5.050164895297243,58,58,-1.1724137931034482,0.06896551724137931,0.7068965517241379,0.22413793103448276,-4.0,-1.0,1.0,1.5328352255788185,59,task-03:8,8,task-03.csv,3,ast
2.9642857142857144,6.142857142857143,10.821428571428571,1.1333308323301736,2.9545882685637763,5.0818554782717715,55,55,-1.2363636363636363,0.03636363636363636,0.7454545454545455,0.21818181818181817,-4.0,-1.0,1.0,1.5604618939000239,56,task-03:9,9,task-03.csv,3,ast
2.9661016949152543,6.220338983050848,10.830508474576272,1.1639515059925014,2.8586342395624813,4.8787069083298915,58,58,-1.3103448275862069,0.017241379310344827,0.7758620689655172,0.20689655172413793,-4.0,-1.0,1.0,1.5559329893349625,59,task-03:10,10,task-03.csv,3,ast
2.967741935483871,6.193548387096774,10.741935483870968,1.1495825600777716,2.7988402533527563,4.964179703120137,61,61,-1.278688524590164,0.08196721311475409,0.7540983606557377,0.16393442622950818,-4.0,-1.0,1.0,1.472492562156434,62,task-03:11,11,task-03.csv,3,ast
